objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc12,name,hutype,humod,tohuc,noncontrib,noncontr_1,globalid,shape_Leng,shape_Area,_count,_mean,_median,_min,_max
78621,{F3779401-6C52-4FF5-9769-248F2B2E2494},,,,,2013/01/18 07:09:18.000,,17422.419999999998254,70.510000000000005,ID,"170602050601",Upper Little Pistol Creek,S,NM,"170602050602",0.000000000000000,0.000000000000000,{AAA42611-E29C-11E2-8094-0021280458E6},0.441204331308134,0.008013148741436,103832.000000000000000,2318.367921257415674,2343.000000000000000,1797.000000000000000,2774.000000000000000
79239,{4AF471D8-3E90-4EBE-A167-C681EE578DF2},,,,,2013/01/18 07:09:18.000,,16247.350000000000364,65.750000000000000,ID,"170602080104",Ditch Creek-Johnson Creek,S,NM,"170602080106",0.000000000000000,0.000000000000000,{AA6A6D2F-E29C-11E2-8094-0021280458E6},0.441320237345841,0.007474727487530,96849.000000000000000,2191.375863457547439,2203.000000000000000,1610.000000000000000,2785.000000000000000
79240,{31FA3795-74AE-489C-A5F6-6454CA93F94A},,,,,2013/01/18 07:09:18.000,,25215.069999999999709,102.040000000000006,ID,"170602080105",Burntlog Creek,S,NM,"170602080106",0.000000000000000,0.000000000000000,{AA6A84D7-E29C-11E2-8094-0021280458E6},0.501968242464108,0.011590886349949,150225.000000000000000,2193.681151605924242,2190.000000000000000,1615.000000000000000,2682.000000000000000
79241,{6D1031C9-EC52-40A3-AD89-B566B142F18F},,,,,2013/01/18 07:09:18.000,,12589.530000000000655,50.950000000000003,ID,"170602080106",Trapper Creek-Johnson Creek,S,NM,"170602080108",0.000000000000000,0.000000000000000,{AA6AA3B8-E29C-11E2-8094-0021280458E6},0.506566240769344,0.005794559641388,75121.000000000000000,2225.907429347319521,2256.000000000000000,1571.000000000000000,2777.000000000000000
78616,{9DF792B8-4C65-482A-B2E0-0F189E095433},,,,,2013/01/18 07:09:18.000,,13484.540000000000873,54.570000000000000,ID,"170602050407",Soldier Creek,S,NM,"170602050408",0.000000000000000,0.000000000000000,{AAA38654-E29C-11E2-8094-0021280458E6},0.360163537111033,0.006182169280502,80128.000000000000000,2263.614404452875533,2295.000000000000000,1584.000000000000000,2777.000000000000000
78619,{DDBC2B46-32DD-4B6D-9993-ECAA18A3D123},,,,,2013/01/18 07:09:18.000,,24504.740000000001601,99.170000000000002,ID,"170602050503",Middle Rapid River,S,NM,"170602050504",0.000000000000000,0.000000000000000,{AAA3F0AE-E29C-11E2-8094-0021280458E6},0.592294240191103,0.011242353617080,121786.000000000000000,2229.363719967812358,2237.000000000000000,1672.000000000000000,2793.000000000000000
78618,{41C231C5-9F51-44FB-94A8-D405E39F48E3},,,,,2013/01/18 07:09:18.000,,16227.440000000000509,65.670000000000002,ID,"170602050408",Greyhound Creek-Middle Fork Salmon River,S,NM,"170602050901",0.000000000000000,0.000000000000000,{AAA39D28-E29C-11E2-8094-0021280458E6},0.394165326250619,0.007448112896002,96526.000000000000000,2169.459026583511331,2243.000000000000000,1497.000000000000000,2830.000000000000000
78620,{B984FC7C-F216-49FD-A249-420953BBAE56},,,,,2013/01/18 07:09:18.000,,12730.799999999999272,51.520000000000003,ID,"170602050504",Lower Rapid River,S,NM,"170602050901",0.000000000000000,0.000000000000000,{AAA407C2-E29C-11E2-8094-0021280458E6},0.341524701252014,0.005845612829365,75754.000000000000000,2068.640309422604787,2070.000000000000000,1497.000000000000000,2680.000000000000000
79143,{CFC227E2-4B04-43A4-9BBF-91243909CBD0},,,,,2013/01/18 07:09:18.000,,15918.520000000000437,64.420000000000002,ID,"170602050901",Lake Creek-Middle Fork Salmon River,S,NM,"170602050902",0.000000000000000,0.000000000000000,{A9D8BBB6-E29C-11E2-8094-0021280458E6},0.466039480878708,0.007318066164716,94826.000000000000000,1953.405606057410523,1948.000000000000000,1405.000000000000000,2668.000000000000000
79144,{A13F820D-EAB8-4315-AE89-CD11D8F8E25F},,,,,2013/01/18 07:09:18.000,,13483.250000000000000,54.560000000000002,ID,"170602050902",Little Soldier Creek-Middle Fork Salmon River,S,NM,"170602050903",0.000000000000000,0.000000000000000,{A9D8D296-E29C-11E2-8094-0021280458E6},0.380898819927875,0.006200709114334,80362.000000000000000,1980.131965356760475,2010.000000000000000,1350.000000000000000,2679.000000000000000
79145,{DDA86939-2166-490B-8FF8-9A36A7EC27B3},,,,,2013/01/18 07:09:18.000,,14540.739999999999782,58.840000000000003,ID,"170602050903",Thomas Creek-Middle Fork Salmon River,S,NM,"170602050906",0.000000000000000,0.000000000000000,{A9D8F08C-E29C-11E2-8094-0021280458E6},0.381982348000112,0.006682326878669,46606.000000000000000,1879.730957387460876,1895.000000000000000,1319.000000000000000,2567.000000000000000
10170,{82DE9F22-DDFE-413E-A1C0-3565B758F385},{0B436472-4E09-4962-90EA-2605EA78F257},,,,2016/11/29 22:15:02.000,,20568.180000000000291,83.239999999999995,ID,"170602050501",Headwaters Rapid River,S,NM,"170602050502",0.000000000000000,0.000000000000000,{AAA3BB35-E29C-11E2-8094-0021280458E6},0.499898533695836,0.009427887765673,43425.000000000000000,2310.495866436384404,2324.000000000000000,1847.000000000000000,2777.000000000000000
78463,{6D264CC8-C35A-45BD-B050-76B742EBF8AF},,,,,2013/01/18 07:09:18.000,,26052.439999999998690,105.430000000000007,ID,"170602050101",Upper Elk Creek,S,NM,"170602050103",0.000000000000000,0.000000000000000,{AAA1A9CA-E29C-11E2-8094-0021280458E6},0.587210246434352,0.011925278332674,154552.000000000000000,2170.742248563590238,2159.000000000000000,1959.000000000000000,2581.000000000000000
78476,{EF8F7D30-647F-4217-91B7-4DE8C7FD8B40},,,,,2013/01/18 07:09:18.000,,19224.939999999998690,77.799999999999997,ID,"170602050402",Boundary Creek-Middle Fork Salmon River,S,NM,"170602050406",0.000000000000000,0.000000000000000,{AAA2FE84-E29C-11E2-8094-0021280458E6},0.505821948862510,0.008804307506581,114107.000000000000000,2117.975049734021468,2097.000000000000000,1705.000000000000000,2770.000000000000000
78477,{BBFD9149-9DC4-4D64-8741-5D6B12E43215},,,,,2013/01/18 07:09:18.000,,14664.969999999999345,59.350000000000001,ID,"170602050403",Upper Sulphur Creek,S,NM,"170602050404",0.000000000000000,0.000000000000000,{AAA31C86-E29C-11E2-8094-0021280458E6},0.455610969294811,0.006721202501614,87107.000000000000000,2231.367846441732581,2249.000000000000000,1814.000000000000000,2581.000000000000000
78478,{7E32382D-7ECD-494C-9E64-967590102DF6},,,,,2013/01/18 07:09:18.000,,18022.139999999999418,72.930000000000007,ID,"170602050404",Lower Sulphur Creek,S,NM,"170602050406",0.000000000000000,0.000000000000000,{AAA33375-E29C-11E2-8094-0021280458E6},0.530288821222808,0.008259959059991,107050.000000000000000,2137.697524521251580,2159.000000000000000,1707.000000000000000,2627.000000000000000
